Headlines,negative,positive,neutral,overall
"Panic buying, food shortages: Shanghai residents frustrated by prolonged lockdowns",0.542,0.0,0.458,-0.8074
"Live: Open to India mediating in Ukraine crisis, Russia says",0.313,0.0,0.687,-0.6249
Do you know if your SIP is really an SIP? Here's why it matters,0.0,0.078,0.922,0.0258
GST collections at record high of Rs 1.42 lakh cr in March,0.0,0.0,1.0,0.0
Russia offers oil to India with big discount at pre-war price,0.0,0.0,1.0,0.0
Gambhir hugged me and said 'well played': Ayush Badoni,0.0,0.407,0.593,0.5859
How 4 brothers broke Sri Lanka's economy in just 2 years,0.259,0.0,0.741,-0.4215
Why you may be vaccinated but still not fully safe,0.276,0.0,0.724,-0.5321
OnePlus Bullets Wireless Z2: Buyer’s guide to the new affordable earphones,0.0,0.0,1.0,0.0
All about India-Australia education ties,0.0,0.0,1.0,0.0
New month calls for new offers!,0.0,0.0,1.0,0.0
A guaranteed income plan taxpayers will love!,0.0,0.473,0.527,0.6696
Karnataka mulls making mask usage optional,0.0,0.0,1.0,0.0
Star ratings & what they mean for your bills & more,0.0,0.0,1.0,0.0
"Blackouts, shortages hit Sri Lanka recovery hopes",0.17,0.298,0.532,0.296
Apple releases iOS 15.4.1 to fix battery drain issues,0.0,0.0,1.0,0.0
"Watch: Food delivery executive thrashes girl, video goes viral",0.0,0.0,1.0,0.0
"Shocking! Adult film actress killed, body chopped into pieces",0.517,0.0,0.483,-0.8172
Malaika trolled for wearing plunging neckline outfit,0.0,0.0,1.0,0.0
CCTV: Hindu activists threaten hotel staff not to serve halal food in Karnataka's Bhadravathi,0.167,0.0,0.833,-0.3818
Jatamansi boosts men's hair quality: Here's how,0.0,0.277,0.723,0.3182
Tips to make hybrid work more productive,0.0,0.0,1.0,0.0
'Lying is his profession. It's not a sin' — Making of Vladmir Putin,0.222,0.191,0.587,-0.122
How the world's most polluted city is choking itself,0.473,0.0,0.527,-0.7425
"Coming in 2023, every IPL match worth Rs 121 crore in media right alone?",0.126,0.119,0.755,-0.0258
Malaika gets trolled for her wrap dress,0.0,0.0,1.0,0.0
Randhir speaks out: I have NO dementia,0.37,0.0,0.63,-0.4466
SRK is part of crossword puzzle in US newspaper,0.0,0.0,1.0,0.0
Yami's chic looks from ‘Dasvi’ promotions,0.0,0.296,0.704,0.2732
"Urfi on social media spat with Farah, trolls",0.0,0.0,1.0,0.0
Grazia Awards 2022: Red carpet,0.0,0.429,0.571,0.4588
Basketball player Valentina,0.0,0.0,1.0,0.0
Winnie Harlow turns up the heat,0.0,0.0,1.0,0.0
Filmfare Marathi Awards,0.0,0.6,0.4,0.4588
Stylish beach vacay photos of Sophie,0.0,0.0,1.0,0.0
Filmfare Marathi: Performances,0.0,0.0,1.0,0.0
Jacqueline stuns in short black dress,0.0,0.18,0.82,0.0258
Rihanna turns heads in sheer dress,0.0,0.0,1.0,0.0
Romantic beach vacay pics of VicKat,0.0,0.351,0.649,0.4019
"Rajasthan cops claim to unearth ‘terror plot’, 3 held with 12kg explosives, timer clocks",0.0,0.0,1.0,0.0
No-Mask Anxiety: What it means as COVID restrictions ease,0.152,0.223,0.625,0.2023
Long COVID symptoms as per COVID variants,0.0,0.0,1.0,0.0
COVID: Steps to take if you have cold-like symptoms,0.0,0.0,1.0,0.0
Impact of COVID on sexual health,0.0,0.0,1.0,0.0
Deltacron vs. Stealth Omicron: Which is more concerning?,0.157,0.0,0.843,-0.0772
Experts link zinc deficiency to COVID,0.0,0.0,1.0,0.0
Celebs who opened up about hair loss,0.277,0.0,0.723,-0.3182
Hebah Patel's black floral lehenga is perfect for a summer bride,0.0,0.291,0.709,0.5719
"Expert predicts the future of Ananya, Ishaan",0.0,0.0,1.0,0.0
Beauty secrets of Ranbir Kapoor's 63-year-old mother Neetu Kapoor,0.0,0.322,0.678,0.5859
Fun loaded summer activities for kids,0.0,0.398,0.602,0.5106
How to make Bento Cake at home,0.0,0.0,1.0,0.0
Rethink your travel plans: 8 countries that are witnessing rise in COVID cases,0.0,0.0,1.0,0.0
A sneak peek at our Miss India's stand-out finale gowns!,0.191,0.0,0.809,-0.2244
Eco Friendly Parenting: Raising Kids That Care For The Planet,0.0,0.444,0.556,0.7506
